movie_id;actor
19995;Sam Worthington
19995;Zoe Saldana
19995;Sigourney Weaver
19995;Stephen Lang
19995;Michelle Rodriguez
19995;Giovanni Ribisi
19995;Joel David Moore
19995;CCH Pounder
19995;Wes Studi
19995;Laz Alonso
19995;Dileep Rao
19995;Matt Gerald
19995;Sean Anthony Moran
19995;Jason Whyte
19995;Scott Lawrence
19995;Kelly Kilgour
19995;James Patrick Pitt
19995;Sean Patrick Murphy
19995;Peter Dillon
19995;Kevin Dorman
19995;Kelson Henderson
19995;David Van Horn
19995;Jacob Tomuri
19995;Michael Blain-Rozgay
19995;Jon Curry
19995;Luke Hawker
19995;Woody Schultz
19995;Peter Mensah
19995;Sonia Yee
19995;Jahnel Curfman
19995;Ilram Choi
19995;Kyla Warren
19995;Lisa Roumain
19995;Debra Wilson
19995;Chris Mala
19995;Taylor Kibby
19995;Jodie Landau
19995;Julie Lamm
19995;Cullen B. Madden
19995;Joseph Brady Madden
19995;Frankie Torres
19995;Austin Wilson
19995;Sara Wilson
19995;Tamica Washington-Miller
19995;Lucy Briant
19995;Nathan Meister
19995;Gerry Blair
19995;Matthew Chamberlain
19995;Paul Yates
19995;Wray Wilson
19995;James Gaylyn
19995;Melvin Leno Clark III
19995;Carvon Futrell
19995;Brandon Jelkes
19995;Micah Moch
19995;Hanniyah Muhammad
19995;Christopher Nolen
19995;Christa Oliver
19995;April Marie Thomas
19995;Bravita A. Threatt
19995;Colin Bleasdale
19995;Mike Bodnar
19995;Matt Clayton
19995;Nicole Dionne
19995;Jamie Harrison
19995;Allan Henry
19995;Anthony Ingruber
19995;Ashley Jeffery
19995;Dean Knowsley
19995;Joseph Mika-Hunt
19995;Terry Notary
19995;Kai Pantano
19995;Logan Pithyou
19995;Stuart Pollock
19995;Raja
19995;Gareth Ruck
19995;Rhian Sheehan
19995;T. J. Storm
19995;Jodie Taylor
19995;Alicia Vela-Bailey
19995;Richard Whiteside
19995;Nikie Zambo
19995;Julene Renee
285;Johnny Depp
285;Orlando Bloom
285;Keira Knightley
285;Stellan Skarsgård
285;Chow Yun-fat
285;Bill Nighy
285;Geoffrey Rush
285;Jack Davenport
285;Kevin McNally
285;Tom Hollander
285;Naomie Harris
285;Jonathan Pryce
285;Keith Richards
285;Lee Arenberg
285;Mackenzie Crook
285;Greg Ellis
285;David Bailie
285;Martin Klebba
285;David Schofield
285;Lauren Maher
285;Vanessa Branch
285;Angus Barnett
285;Giles New
285;Reggie Lee
285;Dominic Scott Kay
285;Takayo Fischer
285;David Meunier
285;Ho-Kwan Tse
285;Andy Beckwith
285;Peter Donald Badalamenti II
285;Christopher S. Capp
285;Keith Richards
285;Hakeem Kae-Kazim
285;Ghassan Massoud
206647;Daniel Craig
206647;Christoph Waltz
206647;Léa Seydoux
206647;Ralph Fiennes
206647;Monica Bellucci
206647;Ben Whishaw
206647;Naomie Harris
206647;Dave Bautista
206647;Andrew Scott
206647;Rory Kinnear
206647;Jesper Christensen
206647;Alessandro Cremona
206647;Stephanie Sigman
206647;Tenoch Huerta
206647;Adriana Paz
206647;Domenico Fortunato
206647;Marco Zingaro
206647;Stefano Elfi DiClaudia
206647;Ian Bonar
206647;Tam Williams
206647;Richard Banham
206647;Pip Carter
206647;Simon Lenagan
206647;Alessandro Bressanello
206647;Marc Zinga
206647;Brigitte Millar
206647;Adel Bencherif
206647;Gediminas Adomaitis
206647;Peppe Lanzetta
206647;Francesco Arca
206647;Matteo Taranto
206647;Emilio Aniba
206647;Benito Sagredo
206647;Dai Tabuchi
206647;George Lasha
206647;Sargon Yelda
206647;Andy Cheung
206647;Erick Hayden
206647;Oleg Mirochnikov
206647;Antonio Salines
206647;Miloud Mourad Benamara
206647;Gido Schimanski
206647;Nigel Barber
206647;Patrice Naiambana
206647;Stephane Cornicard
206647;Gary Fannin
206647;Sadao Ueda
206647;Phillip Law
206647;Wai Wong
206647;Joseph Balderrama
206647;Eiji Mihara
206647;Junichi Kajioka
206647;Victor Schefé
206647;Harald Windisch
206647;Tristan Matthiae
206647;Detlef Bothe
206647;Bodo Friesecke
206647;Wilhem Iben
206647;Noemi Krausz
206647;Noah Saavedra
206647;Francis Attakpah
206647;Michael Glantschnig
206647;Marlon Boess
206647;Marie Wohlmuth
206647;Lili Epply
206647;Konstantin Gerlach
206647;Lara Parmiani
206647;Umit Ulgen
206647;Amra Mallassi
206647;Ziad Abaza
206647;Walid Mumuni
206647;Derek Horsham
206647;Nari Blair-Mangat
206647;Michael White
206647;Adam McGrady
206647;Nader Dernaika
206647;Pezhmaan Alinia
206647;Judi Dench
206647;Neve Gachev
206647;Karl Farrer
206647;Kim Adis
206647;Maurisa Selene Coleman
206647;Matija Mondi Matovi?
49026;Christian Bale
49026;Michael Caine
49026;Gary Oldman
49026;Anne Hathaway
49026;Tom Hardy
49026;Marion Cotillard
49026;Joseph Gordon-Levitt
49026;Morgan Freeman
49026;Cillian Murphy
49026;Juno Temple
49026;Liam Neeson
49026;Matthew Modine
49026;Alon Aboutboul
49026;Ben Mendelsohn
49026;Nestor Carbonell
49026;Josh Pence
49026;Tom Conti
49026;Joey King
49026;Warren Brown
49026;Daniel Sunjata
49026;Sam Kennard
49026;Aliash Tepina
49026;Nick Julian
49026;Miranda Nolan
49026;Claire Julien
49026;Aidan Gillen
49026;Burn Gorman
49026;Brett Cullen
49026;Reggie Lee
49026;Joseph Lyle Taylor
49026;Chris Ellis
49026;Duane Henry
49026;James Harvey Ward
49026;Gonzalo Menendez
49026;Cameron Jack
49026;Lex Daniel
49026;Tyler Dean Flores
49026;Thomas Lennon
49026;Trevor White
49026;Rob Brown
49026;Fredric Lehne
49026;Courtney Munch
49026;Chris Hill
49026;Travis Guba
49026;Jay Benedict
49026;Will Estes
49026;David Dayan Fisher
49026;Glen Powell
49026;Russ Fega
49026;Andres Perez-Molina
49026;Brent Briscoe
49026;John Nolan
49026;Oliver Cotton
49026;Mark Killeen
49026;Sarah Goldberg
49026;John MacMillan
49026;Robert Wisdom
49026;Ronnie Gene Blevins
49026;John Hollingworth
49026;Ian Bohen
